Detalle de boletas 
0;0;;8;4.94066e-324;Num de comprobante:;98313348
Codigo;12939584
Cod de Cliente:;0
Cod de Vendedor:;0
Nombre:;
DNI;71897019
Telefono:;910193590
Nom del producto;
Stock:;0
Precio:;1.03759e-038
Descripcion:;
Marca;
Fecha;
Detalle de boletas 
12915552;0;;1;3.35965e-322;Num de comprobante:;0
Codigo;0
Cod de Cliente:;0
Cod de Vendedor:;12915552
Nombre:;
DNI;7404352
Telefono:;0
Nom del producto;
Stock:;3
Precio:;1.4013e-045
Descripcion:;
Marca;
Fecha;
Detalle de boletas 
12915552;0;;1;3.35965e-322;Num de comprobante:;0
Codigo;0
Cod de Cliente:;0
Cod de Vendedor:;12915552
Nombre:;
DNI;7404352
Telefono:;0
Nom del producto;
Stock:;4
Precio:;1.4013e-045
Descripcion:;
Marca;
Fecha;
